Name,PS1 Obs 1 Date,Date Row Last Modified,Aliases,Host Galaxy,SN RA,Dec (2000),Host RA,Host Dec (2000),"Host Galaxy Mag
(approx.)",Redshift position,Redshift origin,Heliocentric Redshift,Uncertainty,Original Reported Redshift,"Redshift 
Difference","Max light
(in Found_fits.fitres)",Good Spec @max?,Spectra Taken (dates),Kyle has SN spec?,Kyle has host spec?,Useful Link,Link to Spectroscopic Report,Notes,
2018bsn,5/19/18,8/14/18,PS18ais,2MASX J14572815+0550375,57:28.7,+05:50:33.10,57:28.2,+05:50:38.06,,Host Nucleus,SDSS DR13,0.058622,0.000011,0.059,0.000378,,,5/17/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bsn,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=301934&objname=2MASX%20J14572815%2B0550375&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bie,5/19/18,8/14/18,"ATLAS18odq, Gaia18blw",CGCG 014-073 NED02,35:44.3,-00:13:16.01,35:43.6,-00:13:25.73,,Host Nucleus,SDSS DR13,0.023133,0.000021,0.022,0.001133,,,5/12/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bie,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=374369&objname=CGCG%20014-073%20NED02&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bgz,5/19/18,9/9/20,"SNhunt374, Gaia18bob",UGC 9544,49:38.3,+25:22:12.72,49:35.8,+25:22:52.83,,Host Nucleus,SDSS DR13,0.034147,0.000006,0.033927,0.00022,,,5/9/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bgz,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=39095&objname=UGC%2009544&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bsr,5/19/18,8/14/18,ASASSN-18kl,VII Zw 884,27:38.6,+61:56:48.59,27:36.1,+61:56:13,,SN Lines,SNID - ZTF(spectra not available),0.04,,0.04,0,,,5/18/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bsr,https://wis-tns.weizmann.ac.il/object/2018bsr,ASASSN give spectra but ZTF provided the classification and redshift w/out spectra,
2018btj,5/19/18,8/14/18,ATLAS18pje,2MFGC 13313,36:57.7,+58:63:11.75,37:00.8,+63:58:03.5,,Uncertain,1998AstL...24..635M,0.0632,,0.0632,0,,,5/19/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018btj,http://ned.ipac.caltech.edu/cgi-bin/objsearch?search_type=Obj_id&objid=1380758&objname=3&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1,no real reference for redshift,
2018pj,2/10/18,5/2/18,"ASASSN-18bw, PS18ju",2MASX J07103280+3238411,10:31.7,+32:38:46.43,10:32.8,+32:38:40.8,,SN Lines,SNID,0.055,,0.055,0,,,2/8/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018pj,http://www.astronomerstelegram.org/?findmsg,,
2018oh,2/10/18,5/2/18,"ASASSN-18bt, ATLAS18lwy, PS18gr, C16-0066, Gaia18awj",UGC 4780,06:39.5,+19:20:17.77,06:39.4,+19:20:10.0,,Systemic,HIPASS Survey,0.010953,0.000022,0.012,0.001047,,,2/6/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018oh,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=19028&objname=UGC%2004780&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018pv,2/10/18,5/2/18,"Gaia18ayx, AT2018pu",NGC 3941,52:55.7,+36:59:11.60,52:55.4,+36:59:10.78,,Uncertain,ATLAS 3D,0.003102,0.000017,0.0031,0.000002,,,2/8/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018pv,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=28282&objname=NGC%203941&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018ph,2/8/18,5/2/18,ATLAS18lzp,UGC04265,11:02.3,+05:05:13.90,11:01.1,+05:05:14.4,,Systemic,Updated Zwicky Catalog,0.030398,0.000217,0.030424,0.000026,,,2/6/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018ph,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=213926&objname=IC%202231&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,"Host galaxy name attributed to two different galaxies (?) in different positions, z may be off",
2018kl,1/29/18,3/8/18,MLS180128:090938+483939,SDSS J090937.91+483938.8,09:38.0,+48:39:40.30,09:37.9,+48:39:38.83,,SN Lines,SNID,0.073,,0.073,0,,,1/25/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018kl,https://wis-tns.weizmann.ac.il/object/2018kl,,
2018jh,1/26/18,3/8/18,"ASASSN-18az, MASTER OT J142117.5-063736.1, Gaia18anj",2MASX J14211713-0637416,21:17.4,-06:37:38.80,21:17.1,-06:37:41.6,,SN Lines,SNID,0.0272,,0.0272,0,,,1/24/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018jh,https://wis-tns.weizmann.ac.il/object/2018jh,,
2018iq,1/22/18,3/8/18,AT2017jzx,NGC 2746,05:59.8,+35:22:24.00,05:59.4,+35:22:38.55,,Host Nucleus,SDSS DR13,0.023525,0.000009,0.0235,0.000025,,,1/20/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018iq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=18997&objname=NGC%202746&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018ha,1/20/18,3/8/18,"PS18ep, C16-0061",2MASX J09112252+2351285,11:23.0,+23:51:28.45,11:22.5,+23:51:28.51,,Host Nucleus,SDSS DR13,0.061357,0.000017,0.061,0.000357,,,1/16/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018ha,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=1816550&objname=2MASX%20J09112252%2B2351285&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018gv,1/16/18,3/8/18,,NGC 2525,05:34.6,-11:26:16.30,05:38.0,-11:25:37.3,,Systemic,6dF Survey,0.005374,0.00015,0.0053,0.000074,,,1/16/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018gv,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=16760&objname=NGC%202525&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bs,1/15/18,3/8/18,ASASSN-18af,2MASX J03232113-2207024,23:20.7,-22:06:59.47,23:21.2,-22:07:02.3,,SN Lines,SNID,0.07,,0.07,0,,,1/14/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bs,https://wis-tns.weizmann.ac.il/object/2018bs,,
2018gl,1/15/18,3/8/18,ASASSN-18an,NGC 3070,58:06.2,+10:21:33.84,58:06.9,+10:21:35.21,,Systemic,Updated Zwicky Catalog,0.018032,0.000133,0.018,0.000032,,,1/15/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018gl,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=21426&objname=NGC%203070&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018dx,1/13/18,3/8/18,ASASSN-18aj,SDSS J091612.25+390341.8,16:12.3,+39:03:42.30,16:12.3,+39:03:41.84,,SN Lines,SNID,0.06,,0.06,0,,,1/11/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018dx,https://wis-tns.weizmann.ac.il/object/2018dx,,
2018eh,1/12/18,3/8/18,Gaia18acr,2MASX J09320695-2449030,32:03.1,-24:48:56.45,32:06.9,-24:49:03.3,,Systemic,6dF Survey,0.063214,0.00015,0.06,0.003214,,,1/12/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018eh,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7057846&objname=2MASX%20J09320695-2449030&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017jfo,1/2/18,2/12/18,Gaia17dkc,GALEXASC J013336.85+332551.3,33:36.8,+33:25:52.21,33:36.9,+33:25:51.4,,SN Lines,SNID,0.08,,0.08,0,,,12/31/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jfo,http://www.astronomerstelegram.org/?read=11120,,
2017jef,1/1/18,2/12/18,ASASSN-17rm,2MASX J15052096+1247036,05:21.0,+12:47:03.52,05:20.9,+12:47:03.56,,Host Nucleus,SDSS DR13,0.028676,0.000009,0.028,0.000676,,,12/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jef,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=1427743&objname=2MASX%20J15052096%2B1247036&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017jeh,1/1/18,5/2/18,"ASASSN-17ro, PS18bd",CGCG 261-72,30:04.1,+54:26:09.02,30:04.2,+54:26:03.50,,Systemic,Updated Zwicky Catalog,0.020961,0.000077,0.021,0.000039,,,12/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jeh,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=15362&objname=CGCG%20261-072&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017jdx,12/31/17,2/12/18,"ASASSN-17ri, PS17ggb",IC 1586,47:56.2,+22:22:26.26,47:56.3,+22:22:22.4,,Systemic,Updated Zwicky Catalog,0.019343,0.000133,0.02,0.000657,,,12/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jdx,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=1967&objname=IC%201586&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017jet,12/30/17,2/12/18,"ASASSN-17rr, Gaia18abf",2MASX J08362270+8141217,37:01.0,+81:41:42.50,36:22.6,+81:41:22.1,,SN Lines,SNID,0.04,,0.04,0,,,12/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jet,http://www.astronomerstelegram.org/?read=11103,,
2017iyw,12/23/17,2/12/18,"ASASSN-17qz, Gaia17djh, PS17fjx",PGC 023050,13:30.6,+71:25:45.12,13:31.0,+71:25:40.76,,SN Lines,SNID,0.0215,,0.0215,0,,,12/20/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iyw,http://www.astronomerstelegram.org/?read=11103,,
2017iye,12/23/17,2/12/18,"ATLAS17nsd, Gaia18abu",2MASX J10070053-1416102,07:00.8,-14:15:58.38,07:00.5,-14:16:10.2,,Systemic,6dF Survey,0.046385,0.00015,0.046,0.000385,,,12/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iye,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3651491&objname=2MASX%20J10070053-1416102&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017jav,12/23/17,2/12/18,,CGCG 285-013,02:55.5,+62:46:21.00,02:54.7,+62:46:11.0,,Systemic,Updated Zwicky Catalog,0.01517,0.000167,0.01517,0,,,12/19/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017jav,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=14454&objname=CGCG%20285-013&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017ixg,12/17/17,2/12/18,"ATLAS17nrq, Gaia18aao",2MASX J23203073+2446317,20:30.6,+24:46:39.40,20:30.8,+24:46:31.7,,Host Lines from SN position,SNID,0.0277,,0.023,0.0047,,,12/15/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017ixg,http://www.astronomerstelegram.org/?read=11065,,
2017isj,12/17/17,2/12/18,ASASSN-17qg,UGC 6216,10:44.6,+04:50:51.11,10:44.9,+04:50:47.23,,Host Nucleus,SDSS DR13,0.019348,0.000007,0.019,0.000348,,,12/4/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017isj,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=25507&objname=UGC%2006216&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017iws,12/14/17,2/12/18,PS17fim,SDSS J084241.66+135806.3,42:41.6,+13:58:4.07,42:41.7,+13:58:06.37,,Host Nucleus,SDSS DR13,0.094551,0.000031,0.091,0.003551,,,12/13/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iws,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=66000256&objname=SDSS%20J084241.66%2B135806.3&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017iuw,12/14/17,2/12/18,"ATLAS17nnh, Gaia18afv",APMUKS(BJ) B023106.46-202521.3,33:25.1,-20:12:09.16,33:25.0,-20:12:12.1,,SN Lines,SNID,0.036,,0.036,0,,,12/13/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iuw,http://www.astronomerstelegram.org/?read=11055,,
2017itp,12/7/17,2/12/18,"ATLAS17nmp, PS17fto",2MASX J03001587-1031455,00:15.2,-10:31:47.28,00:15.9,-10:31:46.02,,Systemic,6dF Survey,0.052827,0.00015,0.057,0.004173,,,12/12/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017itp,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=76243&objname=2MASX%20J03001587-1031455&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017iln,11/29/17,1/17/18,"ATLAS17njg, MLS171122:033524+060533",GALEXASC J033521.79+060448.4,35:24.4,+06:05:33.20,35:21.8,+06:04:48,,SN Lines,SNID,0.078,,0.078,0,,,11/24/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iln,http://www.astronomerstelegram.org/?read=11007,,
2017iez,11/20/17,1/17/18,"ATLAS17nek, Gaia17dck",2MASX J01331346-1731407,33:13.2,-17:31:31.71,01:33m:13.49,-17:31:40.7,,Systemic,6dF Survey,0.045628,0.00015,0.046,0.000372,,,11/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017iez,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3628314&objname=2MASX%20J01331346-1731407&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hxo,11/13/17,11/29/17,"PTSS-17zfr, MLS171122:030250+052906",2MASX J03024953+0529054,02:50.1,+05:29:6.07,02:49.6,+05:29:05.4,,Host Nucleus,"H-alpha line, PTSS",0.062,,0.06,0.002,,,11/11/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hxo,https://wis-tns.weizmann.ac.il/object/2017hxo,,
2017hyx,11/13/17,1/17/18,ASASSN-17or,2MASX J04470897-1620433,47:09.2,-16:20:42.11,47:09.0,-16:20:43.2,,Systemic,CAIRNS Survey,0.038146,0.00015,0.038146,0,,,11/13/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hyx,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3605011&objname=2MASX%20J04470897-1620433&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hyi,11/12/17,1/17/18,ATLAS17nbg,2MASX J07202833+5608122,20:27.8,+56:08:07.23,20:28.3,+56:08:12.12,,Host Nucleus,NOAO Fundamental Plane Survey,0.036982,0.00005,0.037,0.000018,,,11/16/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hyi,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=655562&objname=2MASX%20J07202833%2B5608122&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017htb,11/5/17,11/29/17,"Gaia17csl, ASASSN-17oc, AT2017hte, PS17eyx",KUG 2207+174,09:38.7,+17:39:40.39,09:39.0,+17:39:41.65,,Systemic,Updated Zwicky Catalog,0.026852,0.00002,0.027,0.000148,,,11/6/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017htb,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=51234&objname=KUG%202207%2B174&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hqc,10/29/17,11/1/17,PTSS-17ygs,GALEXASC J232308.47+103844.5,23:08.2,+10:38:54.63,23:08.5,+10:38:44.5,,SN Lines,SNID,0.037,,0.037,0,,,10/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hqc,,,
2017hoo,10/28/17,11/1/17,ATLAS17mrn,GALEXASC J032955.28-181741.7,29:55.2,-18:17:39.51,29:55.3,-18:17:43.4,,SN Lines,SNID,0.0574,,0.0574,0,,,10/26/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hoo,,,
2017hou,10/28/17,11/1/17,, UGC 2969,09:02.1,-01:09:36.40,09:01.6,-01:09:34.6,,Systemic,21cm Observations,0.016905,0.000012,0.016738,0.000167,,,10/25/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hou,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=10461&objname=UGC%2002969&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hpj,10/28/17,3/26/19,ASASSN-17nz,MCG -3-60-23,54:20.6,-17:18:21.06,54:20.9,-17:18:20.9,,Systemic,Southern Sky Redshift Survey,0.037026,0.000117,0.037,0.000026,,,10/29/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hpj,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=54878&objname=MCG%20-03-60-023&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hpa,10/28/17,11/6/17,,UGC 3122,39:50.8,+07:03:54.90,39:51.5,+07:03:18.8,,Systemic,Updated Zwicky Catalog,0.015631,0.000003,0.015654,0.000023,,,10/25/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hpa,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=11239&objname=UGC%2003122&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hmf,10/23/17,10/24/17,ATLAS17mlj,SDSS J214439.06+070126.5,44:39.1,+07:01:27.93,44:39.1,+07:01:26.5,,SN Lines,SNID,0.0619,,0.0619,0,,,10/22/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hmf,https://wis-tns.weizmann.ac.il/object/2017hmf,,
2017hlt,10/23/17,10/24/17,ATLAS17mip,Anonymous,26:20.9,+41:41:04.53,,,,SN Lines,SNID,0.027,,0.027,0,,,10/19/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hlt,https://wis-tns.weizmann.ac.il/object/2017hlt,,
2017hjy,10/22/17,10/24/17,ATLAS17mgt,SDSS J023602.15+432817.6,36:02.6,+43:28:19.51,36:02.2,+43:28:17.6,,SN Lines,SNID,0.007,,0.007,0,,,10/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hjy,https://wis-tns.weizmann.ac.il/object/2017hjy,,
2017hju,10/22/17,10/24/17,ATLAS17mgm, NGC 974,34:26.2,+32:56:14.34,34:25.8,+32:57:16.18,,Systemic,CfA Redshift survey,0.01501,0.000023,0.022,0.00699,,,10/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hju,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7177&objname=NGC%200974&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hjw,10/21/17,10/24/17,ATLAS17mgh, UGC 3245,08:44.0,+70:28:32.28,08:40.6,+70:28:48.1,,Systemic,Updated Zwicky Catalog,0.016161,0.000023,0.016161,0,,,10/18/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hjw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=11997&objname=UGC%2003245&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017hdt,10/10/17,10/24/17,ATLAS17lxi,SDSS J012136.89-033550.5,21:36.9,-03:35:35.57,21:36.9,-03:35:50.5,,SN Lines,SNID,0.0164,,0.0164,0,,,10/9/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hdt,https://wis-tns.weizmann.ac.il/object/2017hdt,,
2017hdw,10/10/17,10/24/17,ATLAS17lxg,SDSS J010521.42-010704.4,05:21.7,-01:07:26.28,05:21.4,-01:07:04.44,,SN Lines,SNID,0.0458,,0.0458,0,,,10/9/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hdw,https://wis-tns.weizmann.ac.il/object/2017hdw,,
2017hdv,10/10/17,10/24/17,ATLAS17lxk,GALEXASC J233836.83-112326.7,38:36.5,-11:23:29.33,38:36.8,-11:23:26.4,,SN Lines,SNID,0.0642,,0.0642,0,,,10/9/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017hdv,https://wis-tns.weizmann.ac.il/object/2017hdv,,
2017gwy,9/30/17,11/6/17,,UGC 12017,23:34.5,+11:51:36.00,23:35.5,+11:51:40.2,,Systemic,21cm Observations,0.029827,0.000019,0.03,0.000173,,,9/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gwy,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=51705&objname=UGC%2012017&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2017gvw,9/29/17,10/9/17,"PS17eqm, Gaia17ciu",2MASX J03021387+0348365,02:13.5,+03:48:37.16,02:13.9,+03:48:36.56,,SN Lines,SNID(?),0.0324,,0.0324,0,,,9/28/17,yes,no,https://wis-tns.weizmann.ac.il/object/2017gvw,,,
