Name,PS1 Obs 1 Date,Date Row Last Modified,Aliases,Host Galaxy,SN RA,Dec (2000),Host RA,Host Dec (2000),"Host Galaxy Mag
(approx.)",Redshift position,Redshift origin,Heliocentric Redshift,Uncertainty,Original Reported Redshift,"Redshift 
Difference","Max light
(in Found_fits.fitres)",Good Spec @max?,Spectra Taken (dates),Kyle has SN spec?,Kyle has host spec?,Useful Link,Link to Spectroscopic Report,Notes,
2018crn,6/23/18,8/17/18,"ZTF18aazsabq, ATLAS18qxb, PS18ayv",Anonymous,55:21.8,+56:35:18.14,,,,SN Lines,SNID - ZTF(spectra not available),0.05,,0.05,,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018crn,https://wis-tns.weizmann.ac.il/object/2018crn,,
2018ctv,6/23/18,8/17/18,ASASSN-18nt,NGC 541/Abell 0194,25:52.0,-01:22:01.65,25:40.8,-01:24:26,,Uncertain,2014MNRAS.438.2341P,0.018,,0.018,0,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018ctv,https://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=132351&objname=ABELL%200194&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,Position and redshift of host is given for Abell 0194,
2018cqw,6/21/18,8/17/18,ASASSN-18na,CGCG 113-034,17:32.2,+19:26:40.49,17:32.2,+19:26:40,,Systemic,Updated Zwicky Catalog,0.009773,0.00018,0.009843,0.00007,,,6/19/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018cqw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=46011&objname=CGCG%20113-034&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cnw,6/17/18,8/15/18,"ZTF18abauprj, ATLAS18qpy, Gaia18buh, PS18bbw",NGC 6279,59:05.1,+47:14:11.12,59:01.4,+47:14:13.76,,Systemic,Updated Zwicky Catalog,0.024167,0.000167,0.028,0.003833,,,6/15/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018cnw,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=44114&objname=NGC%206279&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cmk,6/16/18,8/14/18,"ASASSN-18mk, ZTF18aazgfkq, Gaia18bwx",UGC 6609,38:29.9,+20:31:44.26,38:29.5,+20:31:39.77,,Systemic,1998AJ....116.1573B,0.025724,0.00009,0.025724,0,,,6/13/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018cmk,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=27277&objname=UGC%2006609&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cdt,6/9/18,8/14/18,"ZTF18aaxdrjn, Gaia18bmm, PS18aeq, ATLAS17amj",MCG +9-20-146,20:01.7,+56:09:31.88,20:01.5,+56:09:46.46,,Host Nucleus,SDSS DR13,0.033914,0.000011,0.0339,0.000014,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018cdt,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=30020&objname=MCG%20%2B09-20-146&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018cfa,6/6/18,8/15/18,"SNhunt381, ATLAS18qjx, ZTF18aaxsioa, Gaia18bpp, PS18aeu",SDSS J164940.78+452949.0,49:39.1,+45:29:32.64,49:40.8,+45:29:49,,SN Lines,SNID - ZTF(spectra not available),0.03,,0.03,0,,,,no,no,https://wis-tns.weizmann.ac.il/object/2018cfa,https://wis-tns.weizmann.ac.il/object/2018cfa,,
2018ced,6/5/18,8/14/18,"ATLAS18qef, ZTF18aaxcfbt",SDSS J105827.19+514144.1,58:27.1,+51:41:44.66,58:27.2,+51:41:44.13,,Host Nucleus,SDSS DR13,0.068111,0.000018,0.0689,0.000789,,,6/8/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018ced,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=7822001&objname=SDSS%20J105827.19%2B514144.1&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018bwq,5/24/18,8/14/18,SMT18iy,2MASX J21291210-2909468,29:11.8,-29:09:46.19,29:12.1,-29:09:46.5,,Systemic,6dF Survey,0.084118,0.000183,0.084,0.000118,,,5/11/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018bwq,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=3891571&objname=2MASX%20J21291210-2909468&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
2018but,5/21/18,8/14/18,ATLAS18pns,2MASX J14344616-1925146,34:47.0,-19:25:31.34,34:46.2,-19:25:15.39,,Systemic,6dF Survey,0.048434,0.000083,0.048,0.000434,,,5/22/18,yes,no,https://wis-tns.weizmann.ac.il/object/2018but,http://ned.ipac.caltech.edu/cgi-bin/datasearch?search_type=z_id&objid=317001&objname=2MASX%20J14344616-1925146&img_stamp=YES&hconst=73.0&omegam=0.27&omegav=0.73&corr_z=1&of=table,,
